id,description,start_date,end_date,created_by,updated_by,vendor_id,dealer_site_id
602,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",04/08/2021,27/07/2021,4867,4711,172,751
603,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",02/05/2022,24/03/2022,4093,916,2635,2034
604,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",28/03/2022,05/10/2021,3003,4361,4098,340
605,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",02/06/2022,20/10/2021,1759,4881,609,4817
606,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",09/04/2022,04/10/2021,4910,3972,2190,1471
607,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,02/10/2021,18/10/2021,3931,1434,4909,4542
608,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",02/06/2022,09/05/2022,4019,1450,1927,654
609,Duis bibendum. Morbi non quam nec dui luctus rutrum.,25/07/2021,16/06/2021,1545,1175,342,4455
610,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",12/01/2022,29/05/2022,1413,1287,969,4579
611,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",29/08/2021,08/10/2021,656,3831,261,1351
612,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,18/05/2022,10/12/2021,3279,783,2086,1019
613,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",23/10/2021,21/08/2021,609,4773,1638,4710
614,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",05/12/2021,30/10/2021,584,3955,4215,2848
615,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,09/05/2022,04/07/2021,2227,2463,1604,4450
616,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,10/04/2022,14/08/2021,3781,4001,198,2519
617,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",26/08/2021,07/10/2021,592,99,58,1933
618,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,05/03/2022,09/05/2022,359,2580,4694,3745
619,Nullam porttitor lacus at turpis.,03/05/2022,15/11/2021,2775,4636,1488,1289
620,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",08/08/2021,02/04/2022,2400,4515,1304,1512
621,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",20/02/2022,18/05/2022,1389,4132,4608,1324
622,In congue. Etiam justo. Etiam pretium iaculis justo.,17/01/2022,03/07/2021,1577,130,914,3909
623,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,05/12/2021,14/01/2022,3661,2403,3013,1651
624,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",14/05/2022,03/10/2021,673,646,505,528
625,Fusce consequat.,02/06/2022,22/07/2021,4412,4782,3333,3913
626,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",06/04/2022,15/09/2021,2334,975,1862,4355
627,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",20/12/2021,26/11/2021,4792,1034,615,2390
628,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",25/02/2022,18/11/2021,2886,1513,3004,22
629,Nunc purus. Phasellus in felis.,25/07/2021,11/01/2022,3986,2708,404,1218
630,Maecenas pulvinar lobortis est.,28/10/2021,08/07/2021,3846,2300,4652,2675
631,Sed ante. Vivamus tortor. Duis mattis egestas metus.,11/03/2022,23/07/2021,2059,4577,1895,1626
632,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,02/07/2021,27/01/2022,4834,3031,2427,2014
633,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,01/02/2022,14/03/2022,1822,4774,3900,2992
634,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,03/03/2022,17/06/2021,2948,4357,1906,296
635,Aliquam sit amet diam in magna bibendum imperdiet.,24/06/2021,18/11/2021,4428,2495,1784,3450
636,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",03/08/2021,09/02/2022,950,4485,3953,554
637,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",06/04/2022,05/02/2022,203,4040,2310,507
638,Cras in purus eu magna vulputate luctus.,27/01/2022,29/09/2021,420,1996,1608,187
639,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",22/10/2021,08/12/2021,3079,1280,4626,3642
640,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",19/08/2021,04/05/2022,3899,1507,2613,1774
641,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",17/06/2021,18/11/2021,2069,1361,2168,3717
642,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",26/04/2022,08/06/2022,275,4560,1276,4321
643,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,10/03/2022,02/10/2021,817,4024,1882,1906
644,Aliquam non mauris. Morbi non lectus.,08/05/2022,15/10/2021,1930,3446,1251,3161
645,Integer ac leo. Pellentesque ultrices mattis odio.,09/07/2021,01/11/2021,865,2650,2654,2918
646,Phasellus sit amet erat.,05/12/2021,13/08/2021,151,3266,1531,590
647,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,30/06/2021,29/03/2022,4796,3585,1838,305
648,Morbi quis tortor id nulla ultrices aliquet.,28/07/2021,13/05/2022,765,1091,2999,131
649,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",29/10/2021,08/06/2022,1855,1308,4506,1540
650,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",17/06/2021,30/05/2022,336,133,4985,2372
651,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,16/06/2021,29/12/2021,3685,3139,3112,1029
652,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",16/04/2022,14/11/2021,209,403,929,4873
653,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",18/12/2021,03/12/2021,1700,2397,2508,3217
654,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",22/06/2021,27/09/2021,1850,379,1804,456
655,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",03/05/2022,16/12/2021,4865,725,1299,2938
656,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",27/11/2021,01/09/2021,1658,2202,3121,1339
657,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",06/08/2021,24/09/2021,4248,1967,3758,822
658,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",23/10/2021,16/08/2021,251,1190,4245,3736
659,Morbi porttitor lorem id ligula.,27/09/2021,17/11/2021,1929,2757,4721,4028
660,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",07/11/2021,26/01/2022,3380,1823,3251,1672
661,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",18/03/2022,10/11/2021,4922,2011,4302,3076
662,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",21/08/2021,04/11/2021,2672,2451,3484,1618
663,Integer ac leo.,12/11/2021,11/03/2022,3292,885,3601,1461
664,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,13/01/2022,05/05/2022,4926,4771,459,2136
665,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,05/02/2022,02/01/2022,2965,4460,2373,1926
666,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",02/02/2022,18/09/2021,346,4035,2447,846
667,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,02/01/2022,27/03/2022,1006,2721,386,1176
668,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",20/11/2021,28/07/2021,96,129,2465,1870
669,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,10/05/2022,17/01/2022,3341,1202,3375,934
670,Donec dapibus. Duis at velit eu est congue elementum.,18/06/2021,08/03/2022,4181,3449,4355,2712
671,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",19/06/2021,25/05/2022,138,1071,1009,1300
672,Cras in purus eu magna vulputate luctus.,05/06/2022,13/12/2021,3680,1354,4260,2432
673,In eleifend quam a odio. In hac habitasse platea dictumst.,19/03/2022,03/04/2022,3249,380,305,2625
674,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",11/09/2021,08/04/2022,3393,3435,3893,4808
675,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,23/06/2021,22/04/2022,3851,2147,4612,1261
676,Donec vitae nisi.,30/04/2022,16/02/2022,1564,3369,814,4373
677,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,28/12/2021,18/02/2022,1871,1185,398,3424
678,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",28/10/2021,02/07/2021,2855,1903,2640,2029
679,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",10/11/2021,10/06/2022,4147,299,2977,672
680,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,20/02/2022,31/12/2021,2488,1858,2594,1921
681,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,19/11/2021,07/10/2021,1092,1203,717,551
682,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",04/11/2021,12/06/2021,4403,1549,3001,2000
683,Nullam molestie nibh in lectus.,11/08/2021,28/02/2022,938,1220,2593,4350
684,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,07/12/2021,15/04/2022,1675,4629,3075,2171
685,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,24/03/2022,25/04/2022,1981,3815,2626,2637
686,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",20/02/2022,26/05/2022,4352,4029,2286,2177
687,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,10/08/2021,28/03/2022,1556,1310,1495,1107
688,Duis consequat dui nec nisi volutpat eleifend.,02/06/2022,03/07/2021,758,2884,323,3924
689,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",09/09/2021,14/11/2021,3491,3226,1310,1887
690,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",29/07/2021,09/09/2021,955,3566,4322,1273
691,Suspendisse ornare consequat lectus.,09/03/2022,15/05/2022,1849,2587,4883,3879
692,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,20/09/2021,08/05/2022,990,2420,3891,3604
693,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",13/07/2021,18/11/2021,4983,3829,4136,1872
694,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",07/09/2021,11/10/2021,457,1775,2774,3741
695,Duis at velit eu est congue elementum.,27/12/2021,16/03/2022,2966,4878,1434,65
696,Pellentesque at nulla.,26/11/2021,21/11/2021,4115,2501,1040,4698
697,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",21/07/2021,29/05/2022,4627,737,2116,4079
698,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,16/05/2022,10/10/2021,1846,3434,1267,1292
699,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,16/04/2022,17/10/2021,4613,2656,3359,4883
700,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,13/03/2022,07/02/2022,1256,2728,4526,1650
701,Etiam pretium iaculis justo.,31/01/2022,13/06/2021,4725,3044,1704,1129
702,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,26/01/2022,24/10/2021,1997,4087,1901,424
703,Proin eu mi. Nulla ac enim.,26/12/2021,03/04/2022,1831,4455,1288,1782
704,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",15/04/2022,28/08/2021,2690,2502,3499,4063
705,Morbi non quam nec dui luctus rutrum.,08/12/2021,28/09/2021,4013,754,2091,4988
706,Pellentesque eget nunc.,04/09/2021,06/01/2022,4068,2363,1569,4669
707,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",29/01/2022,30/11/2021,4398,4078,3234,4427
708,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,26/05/2022,21/07/2021,3924,318,2163,266
709,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,25/12/2021,03/08/2021,4993,869,3173,1305
710,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",11/04/2022,23/06/2021,1240,1745,257,275
711,Mauris lacinia sapien quis libero.,15/10/2021,09/07/2021,4292,1350,470,583
712,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",15/10/2021,30/11/2021,3088,1257,635,2572
713,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",28/09/2021,22/06/2021,2304,3206,2687,1863
714,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",03/05/2022,12/03/2022,4634,1318,4577,1265
715,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",07/07/2021,06/06/2022,3697,2494,3017,4717
716,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,28/07/2021,10/03/2022,3595,3713,2757,2693
717,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",09/05/2022,11/10/2021,1639,4495,393,94
718,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",30/07/2021,27/06/2021,4457,452,2325,2589
719,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",11/01/2022,30/07/2021,1356,4329,3512,3178
720,Nam nulla.,15/06/2021,07/03/2022,3385,4104,4717,4889
721,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",28/06/2021,31/10/2021,1168,3360,3611,320
722,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,13/05/2022,11/11/2021,3446,1556,1504,3773
723,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",27/08/2021,05/03/2022,4197,504,4175,1404
724,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,18/02/2022,07/09/2021,4850,3488,2358,2548
725,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,13/09/2021,20/11/2021,1504,4915,4116,2879
726,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",16/12/2021,08/02/2022,320,2652,509,4918
727,Maecenas tincidunt lacus at velit.,02/07/2021,22/12/2021,2996,1992,2778,3295
728,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,13/04/2022,25/12/2021,3461,3834,2610,2533
729,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",15/04/2022,14/06/2021,2528,524,2250,4935
730,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",01/10/2021,23/03/2022,507,850,1120,2596
731,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",02/11/2021,16/04/2022,1970,3036,2317,1533
732,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,13/11/2021,29/10/2021,1944,3604,3609,2065
733,Praesent lectus.,15/01/2022,03/10/2021,557,912,2621,2181
734,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",22/07/2021,20/11/2021,2223,4925,1414,2478
735,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",16/11/2021,22/03/2022,4427,659,891,2222
736,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,11/03/2022,24/08/2021,99,1116,1472,17
737,Morbi a ipsum. Integer a nibh. In quis justo.,09/01/2022,23/07/2021,4044,221,4915,2286
738,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,16/08/2021,04/12/2021,646,1160,2356,1985
739,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",05/03/2022,11/07/2021,80,3792,4180,2364
740,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",28/04/2022,25/04/2022,732,2012,2011,1536
741,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",22/05/2022,20/05/2022,439,1072,2867,2368
742,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",09/08/2021,24/05/2022,4127,2441,699,1163
743,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,05/04/2022,08/03/2022,4496,1031,4275,2281
744,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",12/07/2021,27/12/2021,204,2889,3930,3459
745,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",14/03/2022,20/07/2021,1253,976,554,1664
746,Nulla nisl.,03/03/2022,06/11/2021,4414,3067,4962,3472
747,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,05/11/2021,04/08/2021,3382,4997,1544,2110
748,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",28/03/2022,16/04/2022,4894,4353,1335,1717
749,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",11/05/2022,01/04/2022,4186,1681,2385,2855
750,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",26/09/2021,27/11/2021,1790,3584,4676,4517
751,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",09/09/2021,31/12/2021,832,3346,126,4257
752,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,15/08/2021,20/02/2022,160,1598,3738,3049
753,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",15/03/2022,15/08/2021,2799,174,2812,347
754,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,02/09/2021,20/09/2021,2234,102,1076,4960
755,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",10/07/2021,26/11/2021,53,1956,4534,4869
756,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",05/10/2021,21/03/2022,3842,3366,2142,471
757,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",27/05/2022,04/12/2021,2983,1699,3113,4191
758,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",20/04/2022,28/07/2021,949,1441,888,4310
759,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,22/05/2022,19/12/2021,3305,3506,2287,1242
760,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,03/02/2022,21/04/2022,1299,4611,4155,985
